Observation_Date,Production_Index
01/01/1939,3.3335
01/02/1939,3.359
01/03/1939,3.4353
01/04/1939,3.4607
01/05/1939,3.4607
01/06/1939,3.5116
01/07/1939,3.5116
01/08/1939,3.5625
01/09/1939,3.6643
01/10/1939,3.6643
01/11/1939,3.6898
01/12/1939,3.6898
01/01/1940,3.7152
01/02/1940,3.7661
01/03/1940,3.7915
01/04/1940,3.7915
01/05/1940,3.817
01/06/1940,3.8679
01/07/1940,3.8679
01/08/1940,3.9188
01/09/1940,3.9697
01/10/1940,3.9951
01/11/1940,4.0969
01/12/1940,4.0969
01/01/1941,4.1223
01/02/1941,4.1732
01/03/1941,4.2241
01/04/1941,4.275
01/05/1941,4.3005
01/06/1941,4.3768
01/07/1941,4.4277
01/08/1941,4.4786
01/09/1941,4.504
01/10/1941,4.5295
01/11/1941,4.5804
01/12/1941,4.6822
01/01/1942,4.7331
01/02/1942,4.784
01/03/1942,4.8094
01/04/1942,4.8094
01/05/1942,4.8094
01/06/1942,4.8349
01/07/1942,4.9875
01/08/1942,5.013
01/09/1942,5.0384
01/10/1942,5.0384
01/11/1942,5.1148
01/12/1942,5.1911
01/01/1943,5.1402
01/02/1943,5.2166
01/03/1943,5.242
01/04/1943,5.3183
01/05/1943,5.3438
01/06/1943,5.4456
01/07/1943,5.4965
01/08/1943,5.5219
01/09/1943,5.6237
01/10/1943,5.6237
01/11/1943,5.7
01/12/1943,5.7
01/01/1944,5.6491
01/02/1944,5.7255
01/03/1944,5.8273
01/04/1944,5.8527
01/05/1944,5.8527
01/06/1944,5.8527
01/07/1944,5.8018
01/08/1944,5.8273
01/09/1944,5.8018
01/10/1944,5.7509
01/11/1944,5.8018
01/12/1944,5.8273
01/01/1945,5.9291
01/02/1945,5.9291
01/03/1945,5.9036
01/04/1945,5.9036
01/05/1945,5.9545
01/06/1945,6.0308
01/07/1945,6.0054
01/08/1945,5.9036
01/09/1945,5.8018
01/10/1945,5.7509
01/11/1945,5.8018
01/12/1945,5.8527
01/01/1946,5.8527
01/02/1946,5.8527
01/03/1946,5.8527
01/04/1946,5.9545
01/05/1946,6.0054
01/06/1946,6.0308
01/07/1946,6.1581
01/08/1946,6.2599
01/09/1946,6.3362
01/10/1946,6.4125
01/11/1946,6.438
01/12/1946,6.4634
01/01/1947,6.6416
01/02/1947,6.5143
01/03/1947,6.4634
01/04/1947,6.4634
01/05/1947,6.438
01/06/1947,6.438
01/07/1947,6.438
01/08/1947,6.6161
01/09/1947,6.7434
01/10/1947,6.7688
01/11/1947,6.8451
01/12/1947,7.1759
01/01/1948,7.5322
01/02/1948,7.3541
01/03/1948,7.3795
01/04/1948,7.2268
01/05/1948,7.0742
01/06/1948,7.125
01/07/1948,7.1759
01/08/1948,7.3541
01/09/1948,7.4813
01/10/1948,7.5576
01/11/1948,7.6594
01/12/1948,7.9648
01/01/1949,8.1429
01/02/1949,7.9648
01/03/1949,7.863
01/04/1949,7.6849
01/05/1949,7.5322
01/06/1949,7.5831
01/07/1949,7.6849
01/08/1949,7.863
01/09/1949,7.9393
01/10/1949,7.8884
01/11/1949,8.092
01/12/1949,8.5501
01/01/1950,8.9572
01/02/1950,8.7536
01/03/1950,8.8045
01/04/1950,8.7027
01/05/1950,8.6773
01/06/1950,8.7536
01/07/1950,8.7791
01/08/1950,8.9826
01/09/1950,9.1099
01/10/1950,9.2626
01/11/1950,9.3898
01/12/1950,9.7206
01/01/1951,10.2804
01/02/1951,10.1277
01/03/1951,10.1277
01/04/1951,10.1023
01/05/1951,9.8987
01/06/1951,10.026
01/07/1951,10.0769
01/08/1951,10.3059
01/09/1951,10.4077
01/10/1951,10.3313
01/11/1951,10.5349
01/12/1951,10.8403
01/01/1952,11.3746
01/02/1952,11.1202
01/03/1952,11.0438
01/04/1952,10.7639
01/05/1952,10.5603
01/06/1952,10.6367
01/07/1952,10.8148
01/08/1952,11.1711
01/09/1952,11.3746
01/10/1952,11.3492
01/11/1952,11.451
01/12/1952,11.8581
01/01/1953,12.2653
01/02/1953,11.8836
01/03/1953,11.9599
01/04/1953,11.8836
01/05/1953,11.7309
01/06/1953,11.8836
01/07/1953,12.0617
01/08/1953,12.2398
01/09/1953,12.2398
01/10/1953,12.138
01/11/1953,12.0617
01/12/1953,12.4688
01/01/1954,13.1559
01/02/1954,12.7996
01/03/1954,12.7487
01/04/1954,12.5961
01/05/1954,12.3416
01/06/1954,12.5452
01/07/1954,12.876
01/08/1954,13.2068
01/09/1954,13.2577
01/10/1954,13.1559
01/11/1954,13.2068
01/12/1954,13.8684
01/01/1955,14.2755
01/02/1955,14.2246
01/03/1955,14.2246
01/04/1955,14.072
01/05/1955,13.7921
01/06/1955,13.9193
01/07/1955,14.2755
01/08/1955,14.988
01/09/1955,15.0898
01/10/1955,14.8099
01/11/1955,14.8863
01/12/1955,15.6497
01/01/1956,16.2095
01/02/1956,16.0059
01/03/1956,15.8532
01/04/1956,15.6497
01/05/1956,15.497
01/06/1956,15.5988
01/07/1956,15.8278
01/08/1956,16.2095
01/09/1956,16.1077
01/10/1956,15.8278
01/11/1956,15.8278
01/12/1956,16.5403
01/01/1957,17.2782
01/02/1957,17.0492
01/03/1957,16.8202
01/04/1957,16.5403
01/05/1957,16.2604
01/06/1957,16.464
01/07/1957,17.1256
01/08/1957,17.6599
01/09/1957,17.4055
01/10/1957,16.922
01/11/1957,16.9729
01/12/1957,17.609
01/01/1958,18.2198
01/02/1958,17.9144
01/03/1958,17.6854
01/04/1958,17.0747
01/05/1958,16.7439
01/06/1958,17.1765
01/07/1958,17.6599
01/08/1958,18.3725
01/09/1958,18.4233
01/10/1958,17.8635
01/11/1958,17.7872
01/12/1958,18.7287
01/01/1959,19.7211
